Country,Address,Latitude,Longitude
U.A.E,Al Karama,25.2482298,55.3051575
U.A.E,Bur Dubai,25.2623727,55.2963265
U.A.E,Deira,25.27120845,55.32022341624801
U.A.E,Al Qusais,25.269769,55.3874873
U.A.E,Oud Metha,25.2384589,55.3114379458886
U.A.E,Al Nahda,25.289314599999997,55.371884281565784
U.A.E,Al Barsha,25.096326,55.1984022
U.A.E,Oasis Centre,53.5573257,-113.62664275593465
U.A.E,Abu Shagara,25.33646565,55.395428863873946
U.A.E,Clock Tower,8.8850758,76.5912109
U.A.E,Madinat Zayed,23.6520354,53.704661701793626
U.A.E,Mussafah,24.373808,54.4879389
U.A.E,Al Jurf,14.27861,44.30712
OMAN,Ruwi,23.5995525,58.550656
OMAN,Al Khuwair,23.5865489,58.4314473
QATAR,Old Al Ghanem,31.896096,35.191701
QATAR,Abu Hamour,25.2307056,51.4915775
QATAR,Salwa Road,25.2702509,51.5072126
QATAR,Al Khor Mall,24.4699333,54.351822100472944
BAHRAIN,Dana Mall,53.933628999999996,27.652148563811842
KUWAIT,Fahaheel,29.080271699999997,48.127648236864374
KUWAIT,Dajeej,29.2645497,47.9637473
KUWAIT,Salmiya,30.5281978,78.4705406
SAUDI ARABIA,Sulaymaniyah,35.5570501,45.4425963
SAUDI ARABIA,Riyadh,24.638916,46.7160104
SAUDI ARABIA,Sulaimaniyah,35.56141115,45.3170113717457
SAUDI ARABIA,Corniche,-15.7154372,46.3001384
THAILAND,Silom,-3.3210598,152.1040633
MALAYSIA,Bangsar,3.13083,101.66944
MALAYSIA,Brickfields,3.1288572,101.6845528
MALAYSIA,Leboh Ampang,3.1493072,101.6975903
MALAYSIA,Suria KLCC,3.1573751000000003,101.71238083850513
MALAYSIA,Petaling Jaya,3.0991752,101.6450232
MALAYSIA,Central i-City Mall,9.655738249999999,123.86923420573896
SINGAPORE,Syed Alwi Road,1.3103653,103.8548423
SINGAPORE,"Little India, Changi Business Park",1.3103653,103.8548423
SINGAPORE,Suntec,36.4735487,52.3476828
NETHERLANDS,Amsterdam,52.3727598,4.8936041
NETHERLANDS,Den Haag,52.0799838,4.3113461
FRANCE,Paris,48.8588897,2.3200410217200766
GERMANY,Frankfurt,50.1106444,8.6820917
GERMANY,Munich,48.1371079,11.5753822
GERMANY,Hamburg,53.550341,10.000654
GERMANY,Berlin,52.5170365,13.3888599
GERMANY,Cologne,50.938361,6.959974
SOUTH AFRICA,Reopening in Johannesburg,50.938361,6.959974
U.K.,East Ham,51.5329628,0.0553201
U.K.,Iflord,51.5329628,0.0553201
U.K.,Rayners Lane,51.5752109,-0.3714658
U.K.,Southall,51.5111461,-0.3755169
U.K.,Tooting,51.4278214,-0.1679667
U.K.,Wembley,51.55606945,-0.27960339379401444
U.K.,Leicester Square,51.5104338,-0.13015026879492098
BELGIUM,Brussels,50.8465573,4.351697
SWEDEN,Stockholm,59.3251172,18.0710935
AUSTRALIA,Paramatta,-34.04110345,137.62971320011115
AUSTRALIA,North Sydney,-33.8354519,151.2083011
AUSTRALIA,Melbourne,-37.8142176,144.9631608
AUSTRALIA,Werribee,-37.9008141,144.6616976
AUSTRALIA,Wantirna,-37.8523357,145.2259721
NEW ZEALAND,Auckland,-36.852095,174.7631803
CANADA,Mississauga,43.5896231,-79.6443879
CANADA,Scarborough,54.2820009,-0.4011868
CANADA,Delta,33.3926893,-95.6749486
USA,Sunnyvale,37.3688301,-122.036349
USA,Fremont,37.5482697,-121.988571
USA,Milpitas,37.4332273,-121.8989248
NEW YORK,Lexington Ave.,40.7507724,-73.9765282
NEW YORK,Amsterdam Ave.,40.8265263,-73.9466483
NEW YORK,Hicksville,40.768189500000005,-73.52825086394452
NEW JERSEY,Edison,40.538457,-74.39450186737218
NEW JERSEY,West Windsor,43.48693285,-72.49146346799421
TEXAS,Irving,32.8295183,-96.9442177
TEXAS,Plano,33.0136764,-96.6925096
TEXAS,Houston,29.7589382,-95.3676974
TEXAS,Sugar Land,29.6196787,-95.6349463
INDIA,K.K.NAGAR,11.3106569,77.7050969
INDIA,T.NAGAR,13.03969,80.23565
INDIA,GEORGE TOWN,5.4141619,100.3287352
INDIA,PURASAWALKAM,13.0893275,80.2550331
INDIA,VADAPALANI - I,13.0494947,80.2122054
INDIA,VADAPALANI - II,13.0494947,80.2122054
INDIA,ANNA NAGAR,13.0872004,80.2164421
INDIA,Dr. RADHA KRISHNAN SALAI,13.0872004,80.2164421
INDIA,EGMORE,13.0728321,80.2576906
INDIA,MYLAPORE,13.0316473,80.2700166
INDIA,ANNA SALAI,13.0103818,80.2159111
INDIA,PORUR,13.0320131,80.158304
INDIA,OMR-KANDANCHAVADI,12.9632927,80.2466598
INDIA,ASHOK PILLAR,13.0346747,80.2119332
INDIA,SALIGRAMAM,13.0583406,80.1985327
INDIA,KODAMBAKKAM,13.049207,80.2242829
INDIA,G.S.T ROAD - ALANDUR,13.049207,80.2242829
INDIA,EKKATTUTHANGAL,13.0242453,80.2065506
INDIA,SANTHOME,13.0298372,80.275738
INDIA,TAMBARAM,12.9245279,80.1150525
INDIA,NAVALUR,12.84559,80.2272225
INDIA,PERAMBUR,13.1121242,80.245022
INDIA,ADYAR,13.00645,80.2577791
INDIA,EAST TAMBARAM,12.9265148,80.1314526
INDIA,KANCHIPURAM- 1,12.8936574,80.05594481409162
INDIA,KANCHIPURAM - 2,12.836393,79.7053304
INDIA,KANCHIPURAM - 3,12.836393,79.7053304
INDIA,VELLORE - 2,43.834849899999995,-79.56023280046676
INDIA,PUNNAI NAGAR,43.834849899999995,-79.56023280046676
INDIA,TIRUCHENDUR,8.5024607,78.05427595640626
INDIA,NEW DELHI - Janpath,28.6114599,77.2183092
INDIA,NEW DELHI - Connught Circus,28.6114599,77.2183092
INDIA,NEW DELHI - Saket,28.523489650000002,77.2096309609309
TO BE OPENED,SRI LANKA - Colombo - Dehiwala,6.8512785,79.8659769
TO BE OPENED,JAPAN - Tokyo,35.6828387,139.7594549
TO BE OPENED,ITALY - Rome Via Volturno,41.9048356,12.4992237
TO BE OPENED,SWITZERLAND - Basel - Gundeldingen,47.5432192,7.5914854
TO BE OPENED,POLAND - Warsaw,52.2319581,21.0067249
TO BE OPENED,IRELAND - Dublin,53.3497645,-6.2602732
